id,id_disciplina,id_professor
467,FAR0119,242
468,FAR0119,242
469,FAR0120,268
470,FAR0124,240
471,FAR0124,232
472,FAR0126,272
473,FAR0126,273
474,FAR0127,274
475,FAR0127,275
476,FAR0127,275
477,FAR0127,276
478,FAR0130,277
479,FAR0134,269
480,FAR0134,269
481,FAR0135,243
482,FAR0135,243
483,FAR0138,274
484,FAR0141,278
485,FAR0141,279
486,FAR0141,279
487,FAR0141,278
488,FAR0141,278
489,FAR0141,279
490,FAR0143,268
491,FAR0149,257
492,FAR0150,272
493,FAR0153,244
494,FAR0153,234
495,FAR0154,261
496,FAR0154,280
497,FAR0155,261
498,FAR0155,238
499,FAR0155,281
500,FAR0161,282
501,FAR0162,247
502,FAR0162,247
503,FAR0162,247
504,FAR0163,268
505,FAR0166,283
506,FAR0167,253
507,FAR0167,253
508,FAR0169,269
509,FAR0169,269
510,FAR0171,251
511,FAR0171,251
512,FAR0172,260
513,FAR0172,240
514,FAR0172,239
515,FAR0172,257
516,FAR0172,285
517,FAR0173,248
518,FAR0173,248
519,FAR0174,286
520,FAR0174,286
521,FAR0176,280
522,FAR0176,281
523,FAR0176,261
524,FAR0177,285
525,FAR0177,241
526,FAR0177,282
527,FAR0177,285
528,FAR0177,282
529,FAR0179,283
530,FAR0182,288
531,FAR0182,288
532,FAR0186,284
533,FAR0186,254
534,FAR0186,254
535,FAR0186,284
536,GPP0002,289
537,GPP0002,290
538,GPP0002,291
539,GPP0002,292
540,GPP0005,294
541,GPP0006,295
542,GPP0007,296
543,GPP0009,297
544,GPP0011,298
545,GPP0011,294
546,GPP0013,299
547,GPP0015,298
548,GPP0018,27
549,GPP0019,300
550,GPP0020,293
551,GPP0021,289
552,GPP0028,292
553,GPP0031,302
554,GPP0037,296
555,GPP0037,296
556,GPP0037,304
557,GPP0037,303
558,GPP0039,302
559,GPP0042,303
560,JOR0001,306
561,JOR0001,307
562,JOR0002,308
563,JOR0003,31
564,JOR0004,140
565,JOR0006,309
566,JOR0006,309
567,JOR0007,310
568,JOR0009,311
569,JOR0010,312
570,JOR0010,313
571,JOR0012,312
572,JOR0015,315
573,JOR0015,316
574,JOR0016,315
575,JOR0016,316
576,JOR0023,317
577,JOR0024,135
578,JOR0025,311
579,JOR0025,135
580,JOR0027,319
581,JOR0039,133
582,JOR0039,133
583,JOR0045,320
584,JOR0045,320
585,JOR0058,140
586,JOR0058,308
587,JOR0062,140
588,JOR0063,118
589,JOR0063,118
590,JOR0064,138
591,JOR0064,138
592,JOR0065,134
593,JOR0065,134
594,JOR0078,312
595,JOR0078,313
596,JOR0078,140
597,JOR0078,312
598,JOR0078,140
599,JOR0078,312
600,JOR0078,308
601,JOR0079,306
602,JOR0079,306
603,JOR0080,318
604,JOR0083,321
605,JOR0083,322
606,JOR0088,323
607,JOR0088,131
608,JOR0089,124
609,JOR0092,317
610,JOR0107,324
611,JOR0116,325
612,JOR0116,318
613,JOR0141,318
614,JOR0142,114
615,DPG0760,326
616,DPG1117,327
617,MAT0010,328
618,MAT0010,329
619,MAT0022,330
620,MAT0022,331
621,MAT0022,331
622,MAT0022,332
623,MAT0022,333
624,MAT0022,334
625,MAT0022,333
626,MAT0022,331
627,MAT0022,335
628,MAT0022,334
629,MAT0022,332
630,MAT0022,336
631,MAT0022,337
